Size(),StartingVal,ShuffleT,CopyT,QuickSortT,QuickSortO,BubbleSortT,BubbleSortO,BinarySearchT,BinarySearchO,LinearSearchT,LinearSearchO
1000,0.991953,0.005,0.003,0,5925,0,255520,0,9,0,498
5000,0.761126,0.015,0.007,0,32906,9,6337755,0,11,0.001,2486
10000,0.92561,0.025,0.02,0,72596,52,24823184,0,12,0.001,4977
15000,0.632724,0.035,0.016,0,116929,161,56644870,0,12,0.002,7428
20000,0.681691,0.068,0.025,0,154556,346,99231465,0,13,0.003,10073
25000,0.537821,0.136,0.024,1,218478,592,156503708,0,13,0.004,12257
30000,0.519645,0.077,0.046,1,268264,895,224096404,0,13,0.005,15139
35000,0.288085,0.084,0.035,1,311579,1239,304760069,0,14,0.006,17420
40000,0.360199,0.092,0.036,2,371390,1692,399256195,0,14,0.007,20195
45000,0.841891,0.111,0.042,2,434346,2199,507467791,0,14,0.008,22577
50000,0.751111,0.114,0.245,2,462721,2711,622781879,0,14,0.009,24913
55000,0.151094,0.125,0.317,2,503487,3323,754902216,0,14,0.01,27360
60000,0.627706,0.186,0.396,3,597840,4009,899780487,0,14,0.011,30053
65000,0.701289,0.153,0.078,3,635210,4787,1055235376,0,14,0.012,32316
70000,0.641573,0.18,0.165,3,746920,5511,1227703221,0,15,0.013,35496
75000,0.807163,0.18,0.071,4,673059,6345,1407292972,0,15,0.014,37419
80000,0.0647335,0.183,0.056,4,814263,7325,1594445606,0,15,0.015,40074
85000,0.177753,0.193,0.072,4,825271,8234,1804501157,0,15,0.016,42402
90000,0.422319,0.205,0.074,5,885365,9287,2019522614,0,15,0.017,44952
95000,0.505323,0.219,0.071,5,989266,10498,2256102929,0,15,0.017,47557
100000,0.788159,0.234,0.07,5,1004224,11638,2498798516,0,15,0.018,50200
105000,0.942808,0.251,0.086,5,986203,12756,2749774466,0,15,0.019,52487
110000,0.229184,0.251,0.085,6,1034913,14108,3025699748,0,15,0.02,55299
115000,0.311751,0.261,0.082,6,1208918,15383,3298237655,0,15,0.021,57633
120000,0.035542,0.28,0.082,6,1309400,16707,3599254368,0,15,0.022,60190
125000,0.171747,0.285,0.087,7,1200868,18210,3910727694,0,15,0.023,62488
130000,0.500398,0.297,0.091,7,1472296,19788,4235122835,0,15,0.024,65272
135000,0.971143,0.345,0.09,7,1480708,21529,267630202,0,16,0.025,67356
140000,0.979337,0.344,0.072,8,1780987,23092,600785212,0,16,0.026,69797
145000,0.144316,0.361,0.089,8,1430389,24844,950964222,0,16,0.027,72242
150000,0.402659,0.378,0.077,8,1492508,26656,1323394693,0,16,0.028,74958
155000,0.570503,0.355,0.216,8,1686024,28580,1715072660,0,16,0.029,77380
160000,0.489447,0.524,0.125,9,1614605,30257,2088407629,0,16,0.03,80241
165000,0.946136,0.405,0.089,9,1761066,32177,2501178568,0,16,0.031,82567
170000,0.09863,0.462,0.107,10,1756374,34324,2941484436,0,16,0.032,84791
175000,0.652508,0.45,0.092,14,1821013,36291,3358235334,0,16,0.033,87620
180000,0.447657,0.448,0.094,11,1917158,38386,3811136153,0,16,0.034,89769
185000,0.808587,0.504,0.093,10,2044120,40832,4266419026,0,16,0.035,92477
190000,0.312997,0.436,0.099,12,2071748,42931,423542121,0,16,0.035,4442
195000,0.741996,0.492,0.1,11,2040027,44676,900100232,0,16,0.037,9522
200000,0.756693,0.488,0.102,11,2187026,47202,1424635836,0,16,0.038,14294
205000,0.541276,0.532,0.103,12,2181628,49925,1879539046,0,16,0.038,18803
210000,0.0515755,0.545,0.104,13,2387314,52270,2435059059,0,16,0.039,23183
215000,0.320782,0.575,0.106,12,2413399,55139,2951532700,0,16,0.04,27801
220000,0.909507,0.539,0.117,13,2226394,57782,3501842051,0,16,0.041,31551
225000,0.0414586,0.525,0.117,13,2497324,60411,4083337931,0,16,0.042,35714
230000,0.681093,0.532,0.113,15,2409904,62817,331998540,0,16,0.043,40250
235000,0.0707,0.587,0.12,14,2495977,65419,909989171,0,16,0.044,44574
240000,0.937073,0.628,0.201,14,2575646,68358,1543850097,0,16,0.045,48370
245000,0.885314,0.569,0.14,17,2570879,71735,2111749090,0,16,0.046,52670
250000,0.912975,0.586,0.123,15,2689035,74498,2745687232,0,16,0.047,56228
255000,0.686222,0.616,0.126,18,2860579,77754,3400972328,0,16,0.048,60358
260000,0.647323,0.657,0.135,16,2811149,80583,4017691920,0,16,0.049,64311
265000,0.0063465,0.691,0.134,15,2954697,83532,363988512,0,17,0.05,3208
270000,0.15638,0.699,0.138,16,2835789,86454,1037917737,0,17,0.051,7985
275000,0.473669,0.668,0.152,17,2865808,90003,1699910200,0,17,0.052,12635
280000,0.546865,0.697,0.148,22,3086275,93942,2420487004,0,17,0.053,17227
285000,0.544803,0.7,0.159,17,3529765,97121,3107280310,0,17,0.054,21285
290000,0.4982,0.783,0.163,17,3042480,100230,3841264278,0,17,0.055,26570
295000,0.936815,0.707,0.156,18,3207073,104101,291329598,0,17,0.055,30930
300000,0.626616,0.757,0.159,18,3165885,107780,1029495252,0,17,0.056,35936
305000,0.682071,0.772,0.162,19,3313972,111077,1760878506,0,17,0.057,39966
310000,0.263226,0.785,0.166,19,3491430,115057,2593424361,0,17,0.058,45042
315000,0.692059,0.794,0.17,19,3426830,117973,3299046197,0,17,0.059,48217
320000,0.807903,0.807,0.168,20,3411482,122178,4077275514,0,17,0.06,52905
325000,0.528889,1.114,0.172,20,3784925,126539,666655820,0,17,0.061,4088
330000,0.644597,0.787,0.174,20,3943350,129730,1435606535,0,17,0.062,8881
335000,0.93481,0.886,0.188,23,3859617,133690,2302810631,0,17,0.063,13982
340000,0.307963,0.995,0.209,21,3810402,138532,3130881585,0,17,0.064,18424
345000,0.717719,0.843,0.182,21,3985022,142346,3970809339,0,17,0.065,23165
350000,0.913239,0.901,0.179,22,3979562,147317,583129362,0,17,0.066,27614
355000,0.00189755,1.044,0.236,23,4011306,151289,1407850516,0,17,0.067,32461
360000,0.960667,0.927,0.238,22,4073576,155164,2328718311,0,17,0.068,36907
365000,0.166201,1.033,0.27,22,3973050,158773,3242784987,0,17,0.069,41120
370000,0.468061,1.253,0.25,23,4309518,164090,4175502811,0,17,0.069,45579
375000,0.962788,0.969,0.224,24,4504528,168273,760571903,0,17,0.07,4576
380000,0.384351,0.994,0.255,23,4412838,172385,1769494582,0,17,0.071,9506
385000,0.337523,1.047,0.232,24,4437523,178043,2698527398,0,17,0.073,14330
390000,0.966397,1.011,0.262,26,4306745,180949,3669958154,0,17,0.073,18692
395000,0.572242,1.526,0.403,25,4305457,188202,313740318,0,17,0.074,23168
400000,0.61904,1.065,0.271,25,4672767,191189,1257994664,0,17,0.075,28024
405000,0.981227,2.582,0.279,25,4639332,196512,2387220443,0,17,0.076,32934
410000,0.604285,1.21,0.298,26,4701227,203172,3356694897,0,17,0.077,37602
415000,0.718287,1.763,0.515,26,4771161,205450,110907896,0,17,0.078,98
420000,0.567645,1.084,0.271,27,5047818,213572,1155469127,0,17,0.079,5439
425000,0.113682,1.069,0.311,27,4777479,215290,2201296022,0,17,0.08,10623
430000,0.0882894,1.038,0.227,28,4922620,223111,3364174539,0,17,0.08,15875
435000,0.614524,1.227,0.224,28,4929776,225787,41349427,0,17,0.081,20782
440000,0.205938,1.358,0.233,28,5250812,232433,1074025695,0,17,0.082,24630
445000,0.836074,1.277,0.242,28,5081434,236434,2238607240,0,17,0.083,29627
450000,0.104197,1.154,0.255,29,5050290,242906,3505775816,0,17,0.084,33827
455000,0.580294,1.447,0.259,30,4834360,247926,115733671,0,17,0.086,214
460000,0.557802,1.279,0.241,29,5334057,254080,1382616539,0,17,0.086,5683
465000,0.772966,1.145,0.459,31,5558767,258004,2549870523,0,17,0.087,10660
470000,0.845901,1.261,0.263,32,5804600,265659,3692351983,0,17,0.088,16276
475000,0.369532,1.26,0.247,30,6116622,270588,614841915,0,17,0.089,20360
480000,0.750051,1.327,0.325,31,5390148,276812,1824706126,0,17,0.09,25073
485000,0.209383,1.316,0.327,30,5531596,282445,2947713763,0,17,0.091,29957
490000,0.184003,1.245,0.245,32,5647882,286642,1819992,0,17,0.092,34112
495000,0.555757,1.236,0.264,33,6214202,294555,1159003881,0,17,0.093,5040
500000,0.574366,1.329,0.27,32,6853735,300353,2369415789,0,17,0.094,9594
